name,time,delta_volume,total_accumulated_volume,total_pulse_count
water_meter,1620886208494042907,0,0,3018429
water_meter,1620886508574942757,0,0,3018429
water_meter,1620886808644722485,0,0,3018429
water_meter,1620887108813888069,0,0,3018429
water_meter,1620887408944959938,0,0,3018429
water_meter,1620888010179118837,0,0,3018429
water_meter,1620888310282767108,0,0,3018429
water_meter,1620888610430020965,0,0,3018429
water_meter,1620888910543375018,0,0,3018429
water_meter,1620889210623248283,0,0,3018429
water_meter,1620889510758341944,0,0,3018429
water_meter,1620889810792509378,0,0,3018429
water_meter,1620890110928045555,0,0,3018429
water_meter,1620890411054298054,0,0,3018429
water_meter,1620890711184049841,0,0,3018429
water_meter,1620891011262601007,0,0,3018429
water_meter,1620891311315267371,0,0,3018429
water_meter,1620891611374233309,0,0,3018429
water_meter,1620891911501749957,0,0,3018429
water_meter,1620892211567130413,0,0,3018429
water_meter,1620892511681905808,0,0,3018429
water_meter,1620892811860793573,0,0,3018429
water_meter,1620893111910305166,0,0,3018429
water_meter,1620893412022492321,0,0,3018429
water_meter,1620893712124917157,0,0,3018429
water_meter,1620894012258111152,0,0,3018429
water_meter,1620894312312127809,0,0,3018429
water_meter,1620894612385545131,0,0,3018429
water_meter,1620894912432593732,0,0,3018429
water_meter,1620895212553892295,0,0,3018429
water_meter,1620895512682768776,0,0,3018429
water_meter,1620895812754577214,0,0,3018429
water_meter,1620896112814158283,0,0,3018429
water_meter,1620896714063663318,0,0,3018429
water_meter,1620897014141839232,0,0,3018429
water_meter,1620897314201423589,0,0,3018429
water_meter,1620897614334556347,0,0,3018429
water_meter,1620897914431939962,0,0,3018429
water_meter,1620898214552942668,0,0,3018429
water_meter,1620898514614241580,0,0,3018429
water_meter,1620898814742393870,0,0,3018429
water_meter,1620899114822281105,0,0,3018429
water_meter,1620899414951493390,0,0,3018429
water_meter,1620899715071918014,0,0,3018429
water_meter,1620900015207626879,0,0,3018429
water_meter,1620900315355842897,0,0,3018429
water_meter,1620900615384184131,0,0,3018429
water_meter,1620900915509141913,0,0,3018429
water_meter,1620901215572479792,0,0,3018429
water_meter,1620901515657642409,0,0,3018429
water_meter,1620901815713106460,0,0,3018429
water_meter,1620902115819048567,0,0,3018429
water_meter,1620902415908152754,0,0,3018429
water_meter,1620902715995245622,0,0,3018429
water_meter,1620903016096163142,0,0,3018429
water_meter,1620903316191633992,0,0,3018429
water_meter,1620903616283252389,0,0,3018429
water_meter,1620903916363951724,0,0,3018429
water_meter,1620904216462197569,0,0,3018429
water_meter,1620904516555887357,0,0,3018429
water_meter,1620904816684343648,0,0,3018429
water_meter,1620905417898380219,0,0,3018429
water_meter,1620905718012324569,0,0,3018429
water_meter,1620906018154782264,0,0,3018429
water_meter,1620906318283367412,0,0,3018429
water_meter,1620906618420453534,0,0,3018429
water_meter,1620906918471658690,0,0,3018429
water_meter,1620907218598730757,0,0,3018429
water_meter,1620908119026134178,0,0,3018429
water_meter,1620908419097425678,0,0,3018429
water_meter,1620908719178470733,0,0,3018429
water_meter,1620909019271417257,0,0,3018429
water_meter,1620909319335628018,0,0,3018429
water_meter,1620909619463798650,0,0,3018429
water_meter,1620909919575823623,0,0,3018429
water_meter,1620910219664995643,0,0,3018429
water_meter,1620910519737122732,0,0,3018429
water_meter,1620910819847721437,0,0,3018429
water_meter,1620911119927632458,0,0,3018429
water_meter,1620911420276197722,0,0,3018429
water_meter,1620911720409197267,0,0,3018429
water_meter,1620912020547688240,0,0,3018429
water_meter,1620912320592297145,0,0,3018429
water_meter,1620912620711396117,0,0,3018429
water_meter,1620912920857815120,0,0,3018429
water_meter,1620913220938888857,0,0,3018429
water_meter,1620913521061805025,0,0,3018429
water_meter,1620914121917729003,0,0,3018429
water_meter,1620914422907023887,0,0,3018429
water_meter,1620914722855561617,0,0,3018429
water_meter,1620915022955952729,0,0,3018429
water_meter,1620915323068451955,0,0,3018429
water_meter,1620915623186486837,0,0,3018429
water_meter,1620915923295168843,0,0,3018429
water_meter,1620916223376549635,0,0,3018429
water_meter,1620916523471818712,0,0,3018429
water_meter,1620916823595960009,0,0,3018429
water_meter,1620917123692012578,0,0,3018429
water_meter,1620917423804820381,0,0,3018429
water_meter,1620917723872911831,0,0,3018429
water_meter,1620918023918646986,0,0,3018429
water_meter,1620918324052187526,0,0,3018429
water_meter,1620918624151251067,0,0,3018429
water_meter,1620918924199152003,0,0,3018429
water_meter,1620919224292146390,0,0,3018429
water_meter,1620919524421593829,0,0,3018429
water_meter,1620919824461594593,0,0,3018429
water_meter,1620920124549471445,0,0,3018429
water_meter,1620920424652460556,0,0,3018429
water_meter,1620920724759150034,0,0,3018429
water_meter,1620921024856854680,0,0,3018429
water_meter,1620921324987748819,0,0,3018429
water_meter,1620921625094935070,0,0,3018429
water_meter,1620921925144629066,0,0,3018429
water_meter,1620922225262469162,0,0,3018429
water_meter,1620922825821380117,0,0,3018429
water_meter,1620923125912127400,0,0,3018429
water_meter,1620923426055189849,0,0,3018429
water_meter,1620923726123634916,0,0,3018429
water_meter,1620924026192052572,0,0,3018429
water_meter,1620924326322115668,0,0,3018429
water_meter,1620924626372869396,0,0,3018429
water_meter,1620924926473295083,0,0,3018429
water_meter,1620925226602242874,0,0,3018429
water_meter,1620925526669348757,0,0,3018429
water_meter,1620925826745123642,0,0,3018429
water_meter,1620926126831764378,0,0,3018429
water_meter,1620926426921706023,0,0,3018429
water_meter,1620926727031373162,0,0,3018429
water_meter,1620927027101621163,0,0,3018429
water_meter,1620927327243650108,0,0,3018429
water_meter,1620927627282582464,0,0,3018429
water_meter,1620927927402980043,0,0,3018429
water_meter,1620928227463159465,0,0,3018429
water_meter,1620928527571557493,0,0,3018429
water_meter,1620928827602607110,0,0,3018429
water_meter,1620929127721625142,0,0,3018429
water_meter,1620929427842461645,0,0,3018429
water_meter,1620929727951708901,0,0,3018429
water_meter,1620930028071976021,0,0,3018429
water_meter,1620930328131563387,0,0,3018429
water_meter,1620930628262897299,0,0,3018429
water_meter,1620930928392494116,0,0,3018429
water_meter,1620931228525220781,0,0,3018429
water_meter,1620931528653452582,0,0,3018429
water_meter,1620931828732829985,0,0,3018429
water_meter,1620932128776814779,0,0,3018429
water_meter,1620932428883336891,0,0,3018429
water_meter,1620932729008276205,0,0,3018429
water_meter,1620933029124905854,0,0,3018429
water_meter,1620933329253023847,0,0,3018429
water_meter,1620933629361452724,0,0,3018429
water_meter,1620933929452012876,0,0,3018429
water_meter,1620934229541733497,0,0,3018429
